"char","year","tf_idf","number"
"异质",2016,0.120159048006906,1180
"畜产品",2014,0.342754536381112,1657
"贮藏",2014,0.31235334425129,1657
"学科",2014,0.201575772132507,1657
"加工",2014,0.178821658386228,1657
"改良",2014,0.124941337700516,1657
"农药",2015,0.474777083261961,1402
"行业",2015,0.186523483517496,1402
"农产品",2015,0.113585476479999,1402
"零增长",2015,0.104197379059858,1402
"农业部",2015,0.104197379059858,1402
"管道",2013,0.290398070268837,1804
"D",2013,0.220703358215392,1804
"GIS",2013,0.200742067229332,1804
"完整性",2013,0.200207379394906,1804
"油气",2013,0.162747065022012,1804
"滑坡",2016,0.53500750972887,1044
"区划",2016,0.465166870802938,1044
"危险性",2016,0.423908110055322,1044
"致灾",2016,0.169563244022129,1044
"因子",2016,0.0970746145525236,1044
"MDS",2018,0.461738140931461,413
"矩阵",2018,0.375238754176405,413
"总数",2018,0.133531054667427,413
"元素",2018,0.131246351800696,413
"异或",2018,0.120534545031928,413
"C",2018,0.339615977351255,408
"IoT",2018,0.247951429262983,408
"种现",2018,0.13473799016361,408
"G",2018,0.1234723077549,408
"代",2018,0.106989060638884,408
"前传光",2017,0.37213349664235,762
"G",2017,0.23871312832614,762
"传送",2017,0.132478559975469,762
"时延",2017,0.10582655900903,762
"关键问题",2017,0.0767735961061162,762
"电力",2019,0.28796489979006,245
"G",2019,0.269514822303706,245
"泛",2019,0.24926191683277,245
"通信网",2019,0.169350131355736,245
"通信",2019,0.12569905629394,245
"认证",2018,0.26024053325686,478
"接入",2018,0.213570478333232,478
"逐一",2018,0.211210903499712,478
"成组",2018,0.211210903499712,478
"协商",2018,0.204414109753361,478
"分片",2014,0.255854900602714,1601
"重组",2014,0.214003003891548,1601
"协议",2014,0.154509013613077,1601
"算法",2014,0.132977585734092,1601
"载荷",2014,0.1181974384201,1601
"样本",2018,0.565764912146447,394
"临床试验",2018,0.326028696156371,394
"生物",2018,0.2361322318716,394
"期",2018,0.233904619815973,394
"GCP",2018,0.227615633868622,394
"AEKF",2011,0.349916571469673,2294
"卡尔曼滤波",2011,0.167688920959795,2294
"滤波器",2011,0.164543830940159,2294
"跟踪",2011,0.159685441228657,2294
"滤波",2011,0.134894524283135,2294
"粒子",2011,0.398860180571304,2318
"度量",2011,0.15545390825598,2318
"采样",2011,0.148255729181328,2318
"密度",2011,0.108434724887088,2318
"重",2011,0.108434724887088,2318
"RPL",2015,0.547763372840511,1460
"LLNs",2015,0.208394758119716,1460
"存储",2015,0.19369407065096,1460
"开销",2015,0.175050876604592,1460
"B",2015,0.170378214719998,1460
"BIM",2018,0.197403584433384,448
"建设项目",2018,0.165831880020278,448
"集成",2018,0.138477438784845,448
"各项",2018,0.11068145479788,448
"缺一不可",2018,0.0964790546850538,448
"混合式",2019,0.183877727752691,12
"Cordova",2019,0.183877727752691,12
"应用服务器",2019,0.158028026842853,12
"服务",2019,0.133450421087635,12
"汇聚",2019,0.100222479247058,12
"辐射",2018,0.205597687984324,533
"异常",2018,0.148588414677295,533
"检测",2018,0.143678160511483,533
"软硬件",2018,0.132192730653762,533
"设备",2018,0.11932984252598,533
"CPSs",2011,1.28302742872213,2315
"进程",2011,0.123161909712699,2315
"正确理解",2011,0.116638857156558,2315
"确切",2011,0.116638857156558,2315
"Systems",2011,0.100241658818228,2315
"DCQD",2014,0.32115630532148,1603
"磁盘",2014,0.214104203547654,1603
"插入",2014,0.170010014165898,1603
"数据库",2014,0.168690683895609,1603
"写入",2014,0.153906269922004,1603
"DeepHome",2018,0.21969326910211,396
"智能家居",2018,0.148237278172954,396
"家居环境",2018,0.134863275920105,396
"设备",2018,0.120767551472076,396
"管控",2018,0.0818701568515259,396
"DISP",2012,0.529817181660296,2119
"数据服务",2012,0.217915561639643,2119
"供其",2012,0.132454295415074,2119
"细述",2012,0.132454295415074,2119
"互享",2012,0.132454295415074,2119
"代码",2012,0.548793388433249,2244
"开销",2012,0.319506577873426,2244
"更新",2012,0.283762190422587,2244
"重组",2012,0.198852348748784,2244
"缓存",2012,0.130737124024598,2244
"周期",2019,0.23145456965808,285
"注册",2019,0.222014008560369,285
"探测",2019,0.205786762840485,285
"开销",2019,0.148228564866792,285
"耗时",2019,0.10484338367789,285
"XML",2015,0.170922532449138,1436
"数据交换",2015,0.134753700332371,1436
"EasiDEF",2015,0.132454295415074,1436
"字典",2015,0.10517568672975,1436
"压缩",2015,0.0956222483849322,1436
"约简",2019,0.189073796128514,43
"冗余",2019,0.172003064049064,43
"邻域",2019,0.151259036902811,43
"特征",2019,0.145854939901248,43
"EasiFFRA",2019,0.137908295814518,43
"EasiPLED",2013,0.265809640458822,1971
"错误",2013,0.173699089400923,1971
"分组",2013,0.163597589376287,1971
"丢失",2013,0.129803564401794,1971
"监督",2013,0.122919264495129,1971
"规则",2017,0.485166475392817,731
"冲突",2017,0.306169692897382,731
"匹配",2017,0.300842567508199,731
"消除",2017,0.173307748650378,731
"EasiRCC",2017,0.144718582027581,731
"软硬件",2014,0.200850970605715,1647
"终端",2014,0.177693856076235,1647
"重塑",2014,0.140070789773519,1647
"应用程序",2014,0.120366188369165,1647
"复用",2014,0.117260807145339,1647
"冗余",2014,0.278481151317532,1644
"过滤",2014,0.231837479957071,1644
"传感",2014,0.170140882705632,1644
"簇",2014,0.159009366392198,1644
"EERSFS",2014,0.130246723824823,1644
"ONS",2005,0.420781324713265,2478
"EPC",2005,0.218486409650511,2478
"兴建",2005,0.205652721828667,2478
"全球性",2005,0.187412006550774,2478
"致力于",2005,0.169171291272881,2478
"Savant",2006,0.652099253381561,2476
"EPC",2006,0.230624543519984,2476
"核心部件",2006,0.217077873041371,2476
"中间件",2006,0.2095417867586,2476
"关键部位",2006,0.197823784692484,2476
"EPC",2006,0.364144016084185,2474
"枝术",2006,0.27420362910489,2474
"苯",2006,0.137101814552445,2474
"单品",2006,0.137101814552445,2474
"编码",2006,0.12939189629629,2474
"部门",2016,0.349202180116434,994
"地名",2016,0.233277714313115,994
"工商",2016,0.233277714313115,994
"测绘",2016,0.156712061851577,994
"地址",2016,0.139680872046573,994
"GEE",2018,0.287308949613579,520
"云",2018,0.122552242370988,520
"遥感",2018,0.111225324424623,520
"平台",2018,0.109809908253454,520
"地学",2018,0.104730238954844,520
"MIB",2012,0.662479651063201,2133
"OMCI",2012,0.363479229278575,2133
"ONU",2012,0.363479229278575,2133
"模块",2012,0.205088798113131,2133
"重启",2012,0.181739614639287,2133
"异常",2019,0.2316628465196,89
"HA2",2019,0.142087335081625,89
"分析报告",2019,0.129484659071444,89
"固件",2019,0.104279307051082,89
"层次化",2019,0.104279307051082,89
"ABC",2019,0.260548399351076,66
"MapReduce",2019,0.205521177517798,66
"算法",2019,0.13243702644249,66
"可扩展性",2019,0.106849176219615,66
"选择",2019,0.105377908403366,66
"HBcipher",2019,0.218595900125576,201
"密钥",2019,0.123711094771794,201
"加",2019,0.117851304590625,201
"P2",2019,0.109297950062788,201
"轮",2019,0.107134683113017,201
"匹配",2018,0.31947883275207,447
"模式匹配",2018,0.164744217266954,447
"参与度",2018,0.126047013255388,447
"元素",2018,0.0929177711863331,447
"万物",2018,0.0929177711863331,447
"航天",2015,0.285711514149754,1204
"状态",2015,0.218928470756737,1204
"研制",2015,0.143943195600763,1204
"物联",2015,0.141042816367775,1204
"清洗",2015,0.130419850676312,1204
"密钥",2011,0.336965458140315,2286
"ID",2011,0.253804608557208,2286
"方案",2011,0.230556724145569,2286
"分发",2011,0.151437491802093,2286
"DNSKey",2011,0.124044498880783,2286
"同步",2017,0.310638223741203,896
"SMTSF",2017,0.187555282307745,896
"时间",2017,0.14728797973276,896
"跳",2017,0.138185467776732,896
"攻击",2017,0.120760515355705,896
"闪存",2015,0.382884744566098,1273
"IFCQD",2015,0.252090433209334,1273
"写入",2015,0.181212221037198,1273
"FLASH",2015,0.168060288806223,1273
"缓冲",2015,0.144434218082177,1273
"INVF",2013,0.852524010489748,1815
"信息网络",2013,0.371400234791793,1815
"组件",2013,0.242591323609248,1815
"理解",2013,0.164326056854001,1815
"visualization",2013,0.142087335081625,1815
"防护",2018,0.198117690933386,650
"IoT",2018,0.156317205404924,650
"设备",2018,0.145271112640323,650
"智能",2018,0.128982746051797,650
"三端",2018,0.113258020717237,650
"抗毁",2015,0.514280725469557,1333
"测度",2015,0.257140362734779,1333
"性",2015,0.224868569883512,1333
"AS",2015,0.208394758119716,1333
"Internet",2015,0.199320852564461,1333
"IPv6",2019,0.678439963273378,213
"地址",2019,0.395141666922862,213
"IPv4",2019,0.171426908489853,213
"标识",2019,0.110699780889592,213
"结构",2019,0.110389906869725,213
"IACH",2016,0.347324596866194,1146
"地址",2016,0.207969298380454,1146
"地址映射",2016,0.173662298433097,1146
"IPv6",2016,0.159009366392198,1146
"LoWPAN",2016,0.13384542133914,1146
"节点",2018,0.299368369165521,545
"概率",2018,0.188026604692625,545
"灰洞",2018,0.148367838519363,545
"丢包",2018,0.129278448271985,545
"阈值",2018,0.125956681111597,545
"ISHSN",2013,0.344770739536295,1948
"网",2013,0.279742282089528,1948
"传感",2013,0.225186462404512,1948
"代理",2013,0.222450648849246,1948
"接入",2013,0.185931945843049,1948
"单播",2011,0.412849637619096,2383
"检索",2011,0.162828372526178,2383
"查询处理",2011,0.157011830628724,2383
"查询",2011,0.133472665266353,2383
"节点",2011,0.130160160506748,2383
"MIDP",2011,0.229847159690864,2343
"HttpConnection",2011,0.229847159690864,2343
"接口技术",2011,0.229847159690864,2343
"Servlet",2011,0.229847159690864,2343
"手机",2011,0.227268218288702,2343
"信誉度",2016,0.190945813911964,957
"粗大",2016,0.154748582762166,957
"融合",2016,0.151338034986891,957
"真实性",2016,0.107265508053287,957
"数据",2016,0.106962129059465,957
"信号",2018,0.457988685837786,513
"分离",2018,0.362090564087735,513
"盲源",2018,0.229847159690864,513
"Kalman",2018,0.209460477909689,513
"单通道",2018,0.197535033553566,513
"区分",2018,0.48371458877328,472
"器",2018,0.318463952747659,472
"LBlock",2018,0.199672605110171,472
"SEI",2018,0.199672605110171,472
"MLE",2018,0.199672605110171,472
"事件处理",2015,0.343557936926424,1317
"事件",2015,0.189099328248087,1317
"长",2015,0.159887917211773,1317
"in",2015,0.13473799016361,1317
"Event",2015,0.12278717670568,1317
"页面",2012,0.359795953972567,2037
"置换",2012,0.322663069299713,2037
"虚拟内存",2012,0.254344866033193,2037
"嵌入式",2012,0.242568772978054,2037
"溢出",2012,0.139550061240881,2037
"M2M",2013,0.268845088491071,1777
"业务",2013,0.190789343418225,1777
"支撑",2013,0.185173322848109,1777
"跨",2013,0.157569209601549,1777
"终极目标",2013,0.122106303585771,1777
"电容器",2012,0.456516426213424,2089
"超级",2012,0.386092561555212,2089
"MEMS",2012,0.336529107181271,2089
"储能",2012,0.15911193633475,2089
"微型",2012,0.154437024622085,2089
"故障",2017,0.331902255647261,709
"Midori",2017,0.309060022635172,709
"故障注入",2017,0.227667496299025,709
"bit",2017,0.226822221551789,709
"Midori128",2017,0.220757159025123,709
"ONS",2016,0.213195871188054,1032
"物理地址",2016,0.156296068589787,1032
"一点",2016,0.142433124978588,1032
"着物",2016,0.124107310341105,1032
"学者",2016,0.11470723775619,1032
"物与物",2018,0.20352094366125,549
"数据通讯",2018,0.194803305102105,549
"通讯",2018,0.123549509430485,549
"red",2018,0.118406112568021,549
"技术水平",2018,0.118406112568021,549
"水产品",2016,0.260698267627706,1028
"流",2016,0.20215943634104,1028
"Petri",2016,0.167036919287737,1028
"溯源",2016,0.128220742152523,1028
"网在",2016,0.118406112568021,1028
"PMDA",2013,0.332787675183618,1906
"物理",2013,0.201404064183776,1906
"互联",2013,0.155428367278375,1906
"Wright",2013,0.146071092139988,1906
"模型",2013,0.137798516426318,1906
"HDL",2013,0.248088997761567,1740
"Verilog",2013,0.226084325362839,1740
"31",2013,0.213212417168929,1740
"轮",2013,0.162119150107529,1740
"原",2013,0.160070308166653,1740
"VANETs",2012,0.434155746082742,2140
"代理",2012,0.350153799114554,2140
"签名",2012,0.331269513317079,2140
"隐私",2012,0.166812170784275,2140
"保护",2012,0.140016017184102,2140
"压电",2018,0.273076749757444,383
"纤维",2018,0.271347341301714,383
"纳米",2018,0.195054821255317,383
"PVDF",2018,0.148367838519363,383
"含量",2018,0.139920648767109,383
"WiKey",2015,0.256223063261946,1415
"密钥",2015,0.232009003965463,1415
"PPA",2015,0.19216729744646,1415
"RFID",2015,0.158765631681115,1415
"标签",2015,0.148884181313474,1415
"所有权",2018,0.382753909593525,345
"count",2018,0.339774062151711,345
"转移",2018,0.321158587277817,345
"标签",2018,0.197433370872216,345
"于此",2018,0.169887031075856,345
"天线",2015,0.489992467419653,1207
"金属",2015,0.184182913185349,1207
"约",2015,0.144708395010728,1207
"Koch",2015,0.128111531630973,1207
"FPC",2015,0.128111531630973,1207
"RCIA",2018,0.358477221536209,401
"协议",2018,0.212627082953776,401
"漏洞",2018,0.189935636692628,401
"同步",2018,0.178118247558029,401
"修补",2018,0.143390888614484,401
"RFID",2013,0.234307343529387,1956
"读卡器",2013,0.200173081195331,1956
"新",2013,0.126065626195064,1956
"Level",2013,0.126045216604667,1956
"个件",2013,0.126045216604667,1956
"动车",2012,0.390740171474468,2185
"检修",2012,0.293444664021702,2185
"动车组",2012,0.195370085737234,2185
"修",2012,0.195370085737234,2185
"配件",2012,0.195370085737234,2185
"血站",2012,0.339126488044258,2144
"血液",2012,0.2868116171553,2144
"输血",2012,0.226084325362839,2144
"疾病",2012,0.156331164177562,2144
"传播",2012,0.145902463638767,2144
"电子商务",2007,0.575082899986011,2472
"简述",2007,0.306234352027517,2472
"基本原理",2007,0.283708512688175,2472
"RFID",2007,0.269019542570778,2472
"基本概念",2007,0.243378679166901,2472
"协议",2015,0.220727162304396,1274
"构造",2015,0.177965046932554,1274
"认证",2015,0.152839678261965,1274
"隐私",2015,0.142981860672235,1274
"搜索",2015,0.140842943520767,1274
"数据仓库",2012,0.389344413960652,2194
"聚集",2012,0.222032749060311,2194
"查询",2012,0.17796355368847,2194
"RFID",2012,0.175447527763551,2194
"时空",2012,0.161759081185533,2194
"评测",2013,0.219019780373138,1970
"RFID",2013,0.1760855187736,1970
"切入点",2013,0.109509890186569,1970
"备受",2013,0.104279307051082,1970
"冲突",2013,0.0858865632023826,1970
"事件",2018,0.179799361285067,633
"聚类",2018,0.144708395010728,633
"递增",2018,0.128111531630973,633
"complex",2018,0.116748463097204,633
"随之而来",2018,0.110101494111824,633
"EPC",2014,0.272212575958014,1636
"可读性",2014,0.256223063261946,1636
"抽象",2014,0.222244257220575,1636
"解析",2014,0.220455684556434,1636
"业务",2014,0.150129319411062,1636
"reader",2012,0.550338269682349,2049
"tag",2012,0.33020296180941,2049
"QoS",2012,0.147883213296558,2049
"机制",2012,0.129654911736585,2049
"quality",2012,0.11006765393647,2049
"采纳",2018,0.281952152121468,641
"上市公司",2018,0.205652721828667,641
"RFID",2018,0.148668694578588,641
"公告",2018,0.137101814552445,641
"市值",2018,0.137101814552445,641
"WSN",2011,0.261225329529094,2303
"四种",2011,0.189188482840035,2303
"协作",2011,0.179976987380279,2303
"RFID",2011,0.13640427510631,2303
"兼容性问题",2011,0.100305017590555,2303
"标签",2008,0.257643547804878,2469
"站点",2008,0.239045908602261,2469
"后台",2008,0.202990680500678,2469
"RFID",2008,0.15454314147683,2469
"其内",2008,0.151524601041051,2469
"解决办法",2007,0.564124137914115,2473
"中间件",2007,0.342886560150437,2473
"射频",2007,0.256144650520477,2473
"关键技术",2007,0.222620674042501,2473
"RFID",2007,0.220106898467,2473
"RFID",2013,0.163225340436202,1806
"一层",2013,0.144460877940887,1806
"接口",2013,0.130232349805885,1806
"中间件",2013,0.127137713314207,1806
"通用性",2013,0.114758499514318,1806
"数控机床",2010,0.583742315486018,2456
"DNC",2010,0.512446126523892,2456
"通讯",2010,0.334191296000491,2456
"RIC",2010,0.256223063261946,2456
"异构",2010,0.206646841664085,2456
"RuBee",2010,0.281614537999617,2428
"标识",2010,0.149594298499449,2428
"电感",2010,0.115828992222873,2428
"高压",2010,0.108523314599303,2428
"恶劣",2010,0.0993192493062219,2428
"范型",2015,0.240455490138134,1293
"服务",2015,0.218140111393249,1293
"优化",2015,0.182668675425881,1293
"求解",2015,0.144398477651652,1293
"智能算法",2015,0.109563942291222,1293
"Savant",2013,0.526695550808184,2002
"EPC",2013,0.266105242523059,2002
"中间件",2013,0.145067390832877,2002
"系统",2013,0.107961980391907,2002
"JADE",2013,0.100189787557556,2002
"SDT",2018,0.434155746082742,561
"ASDT",2018,0.434155746082742,561
"数据压缩",2018,0.244537220018085,561
"旋转门",2018,0.217077873041371,561
"SCADA",2018,0.186560865022812,561
"液位",2015,0.283610694192771,1327
"SmartWater",2015,0.229847159690864,1327
"在线",2015,0.143402436971538,1327
"预警系统",2015,0.127008702000673,1327
"可为",2015,0.126130673672741,1327
"SMS4",2016,0.465166870802938,946
"数据通路",2016,0.279100122481763,946
"GE",2016,0.279100122481763,946
"面积",2016,0.222824248264772,946
"占用",2016,0.200627816148326,946
"ONS",2010,0.673894995134655,2429
"TA",2010,0.359301307102959,2429
"L",2010,0.301715751265967,2429
"查询",2010,0.211715262146628,2429
"证书",2010,0.183789544127633,2429
"显示",2018,0.269660456266202,381
"人工智能",2018,0.213462629802455,381
"时代",2018,0.120775056958845,381
"TFT",2018,0.0964790546850538,381
"大门",2018,0.0879216820855483,381
"TinyLoc",2017,0.219516950266555,810
"定位",2017,0.185116801838368,810
"手表",2017,0.175613560213244,810
"室内",2017,0.151098839976882,810
"Wi",2017,0.117974248809614,810
"U",2014,0.662271477075369,1592
"制造",2014,0.607969354521644,1592
"物联新",2014,0.132454295415074,1592
"范式",2014,0.113833748149513,1592
"列举",2014,0.0952132008839515,1592
"M",2013,0.376174177547985,1889
"C1G2",2013,0.357139392687193,1889
"PRNG",2013,0.325616809562057,1889
"发生器",2013,0.279841297534219,1889
"随机数",2013,0.229675764020638,1889
"医药",2013,0.284174670163249,2001
"仓储",2013,0.250686960252063,2001
"物流配送",2013,0.208558614102165,2001
"中心",2013,0.177868720248481,2001
"化及",2013,0.129484659071444,2001
"标签",2012,0.238103166370238,2200
"mm",2012,0.189356590522016,2200
"金属",2012,0.189356590522016,2200
"阻抗",2012,0.189356590522016,2200
"天线",2012,0.167918766924713,2200
"冲突",2016,0.178930340004964,1106
"MCR",2016,0.177609168852031,1106
"UWSN",2016,0.118406112568021,1106
"路由",2016,0.10638601019046,1106
"类",2016,0.0955428526555713,1106
"漏洞",2016,0.225032439124961,1004
"函数",2016,0.20598179490889,1004
"关联",2016,0.160333436714968,1004
"固件",2016,0.149618136203727,1004
"跨平台",2016,0.14654553527356,1004
"由点到面",2016,0.187555282307745,1157
"WebGIS",2016,0.148928772409326,1157
"农业",2016,0.115501989773286,1157
"区域",2016,0.112434284941756,1157
"环境监测",2016,0.0956678887920064,1157
"物网",2013,0.142087335081625,1903
"小规模",2013,0.116881983061263,1903
"相连",2013,0.0928500586979482,1903
"值得",2013,0.0928500586979482,1903
"发展",2013,0.082921879081022,1903
"数据源",2013,0.312926698437362,1879
"幻象",2013,0.202981907259464,1879
"位置",2013,0.195505349659487,1879
"径路",2013,0.184978084387777,1879
"幻影",2013,0.174446523138214,1879
"源",2016,0.215297855991571,1168
"路由",2016,0.214069410749097,1168
"圆周",2016,0.190604961694862,1168
"幻影",2016,0.16380954002003,1168
"阶段",2016,0.158558792098611,1168
"节能",2011,0.326345099200232,2374
"管理网络",2011,0.122106303585771,2374
"舒适性",2011,0.111275878889522,2374
"照明",2011,0.104940486575332,2374
"预测值",2011,0.104940486575332,2374
"蓄电池",2018,0.309807665945517,414
"频率",2018,0.240130242951823,414
"太阳能",2018,0.17603726928878,414
"SOC",2018,0.171606174672998,414
"电量",2018,0.161835931104127,414
"攻击",2013,0.197968057960172,1775
"惩罚",2013,0.192422730506034,1775
"节点",2013,0.176676414589488,1775
"入侵",2013,0.154877409053477,1775
"无约束",2013,0.128111531630973,1775
"通信量",2011,0.299991661258733,2373
"相关性",2011,0.275375494624878,2373
"相关联",2011,0.203475892826555,2373
"策略",2011,0.164590256934781,2373
"导向",2011,0.149995830629366,2373
"养猪",2014,0.383782350904071,1673
"猪",2014,0.275507531501549,1673
"数据表",2014,0.22328009798541,1673
"管理",2014,0.155522196542444,1673
"个体",2014,0.130191625470511,1673
"各物",2012,0.173698932900717,2231
"承担",2012,0.151350378464762,2231
"协议",2012,0.113055375814447,2231
"相互之间",2012,0.0953024808474312,2231
"电子邮件",2012,0.0953024808474312,2231
"公网",2014,0.359795953972567,1620
"无线网络",2014,0.205955974068066,1620
"ZigBee",2014,0.191823049547791,1620
"IP",2014,0.167118186198579,1620
"数据传输",2014,0.158719991012665,1620
"素养",2018,0.593529374391597,426
"培养",2018,0.40686766255503,426
"安全工程",2018,0.360590189819211,426
"态度",2018,0.180295094909605,426
"专业",2018,0.173039502207641,426
"流量",2019,0.331944726501277,179
"径流",2019,0.328691826873665,179
"雨水",2019,0.273909855728054,179
"率定",2019,0.180341617603601,179
"薄壁堰",2019,0.180341617603601,179
"荧光",2018,0.397779840836876,499
"薄膜",2018,0.347237702351986,499
"基",2018,0.336529107181271,499
"传感器",2018,0.10296239765338,499
"化合物",2018,0.100189787557556,499
"爆炸",2019,0.464711498918275,88
"危险物品",2019,0.376617032746475,88
"流向",2019,0.299053759858085,88
"子系统",2019,0.217781521131809,88
"烟花爆竹",2019,0.188308516373238,88
"北斗",2013,0.350816203199517,1821
"城市",2013,0.248417417432806,1821
"智慧",2013,0.227394883105868,1821
"卫星",2013,0.131811527142541,1821
"我国",2013,0.117373978608834,1821
"北斗",2016,0.235350712697629,1053
"待传",2016,0.184601655814709,1053
"压缩",2016,0.166586003583986,1053
"传输",2016,0.159919547020443,1053
"报文",2016,0.124012300914043,1053
"客户端",2016,0.150471680872744,953
"层",2016,0.138285138086769,953
"墙体",2016,0.137101814552445,953
"温室",2016,0.113639364947971,953
"北方",2016,0.112780860848587,953
"气象",2018,0.203970542610369,451
"设施",2018,0.18869406073374,451
"农业",2018,0.170860931617287,451
"灾害",2018,0.15440476426117,451
"预警",2018,0.0895654345179678,451
"设施",2012,0.272558087726514,2223
"北京市",2012,0.205916032829446,2223
"农业",2012,0.172759386413035,2223
"技术标准",2012,0.0911093466615617,2223
"农产品",2012,0.072811202871794,2223
"产业",2019,0.25026724122386,328
"制造业",2019,0.234079347342257,328
"推进",2019,0.212137568187953,328
"北京",2019,0.19710802990011,328
"制造",2019,0.171627712520464,328
"查询方法",2017,0.434155746082742,751
"查询",2017,0.397946279775607,751
"签名图",2017,0.289437164055161,751
"本体",2017,0.164722503685292,751
"传感器",2017,0.148723463277105,751
"边坡",2017,0.429015436682495,897
"岩质",2017,0.282462774559856,897
"顺层",2017,0.282462774559856,897
"预警",2017,0.255315443457243,897
"锚索",2017,0.188308516373238,897
"边缘",2018,0.388701687624254,628
"计算",2018,0.190990448466361,628
"网络带宽",2018,0.165014903020858,628
"延迟",2018,0.117491586434882,628
"增速",2018,0.0975569349168413,628
"边缘",2017,0.424461079978617,861
"数据处理",2017,0.105200899816799,861
"计算",2017,0.104280499162636,861
"集中式",2017,0.0764978709474804,861
"中心",2017,0.0682916552437449,861
"边缘",2018,0.276382044122441,605
"长尾",2018,0.266413753278046,605
"延迟",2018,0.243661528685977,605
"计算",2018,0.0905344333639246,605
"用户",2018,0.0813224250182359,605
"边缘",2018,0.363009251981713,568
"计算",2018,0.20809407071708,568
"带宽",2018,0.127147921432834,568
"放在",2018,0.116638857156558,568
"网络游戏",2018,0.116638857156558,568
"数据安全",2018,0.319332697784176,620
"边缘",2018,0.311815639522754,620
"隐私",2018,0.15398046533933,620
"计算",2018,0.153212118000488,620
"保护",2018,0.110781903706103,620
"异常",2018,0.30702304960429,606
"检测",2018,0.197918108656381,606
"序列",2018,0.16075328672902,606
"传感",2018,0.153741761480992,606
"边缘",2018,0.0976771882842361,606
"变电",2015,0.221620197037688,1256
"分布式计算",2015,0.147746798025125,1256
"装置",2015,0.147354427691979,1256
"故障诊断",2015,0.131243293726079,1256
"故障",2015,0.131131025110637,1256
"向量",2015,0.184241705926149,1259
"机",2015,0.155077367843492,1259
"变压器",2015,0.123285407623614,1259
"相关系数",2015,0.119663125038304,1259
"训练",2015,0.113601136552932,1259
"物端",2018,0.287016715419712,506
"VEP",2018,0.267172766820149,506
"计算",2018,0.153212118000488,506
"粒度",2018,0.150484443088052,506
"数量级",2018,0.109889043903752,506
"主题",2012,0.235696302848638,2015
"信息源",2012,0.206652035102192,2015
"线性",2012,0.125450271114031,2015
"新华社",2012,0.120227745069067,2015
"全文检索",2012,0.120227745069067,2015
"物质",2016,0.535300442862222,1008
"标准",2016,0.284117755135545,1008
"药品",2016,0.156503820811575,1008
"数字",2016,0.146866748123913,1008
"合规",2016,0.104197379059858,1008
"异常",2019,0.391119091526598,63
"观测",2019,0.246414773355369,63
"湿地",2019,0.166517135722841,63
"滨海",2019,0.129170304619659,63
"事件",2019,0.120856870946436,63
"树",2012,0.527364578742842,2018
"协议",2012,0.363550620266064,2018
