title,year,abstract,citation
物联网智能物流系统容错服务组合建模与分析,2019,"针对物流领域的服务组合存在容错性差和服务不可靠等问题,提出一种基于pi网的物联网智能物流系统物流服务容错组合模型。首先,在简单介绍物联网智能物流系统后,给出了物联网智能物流系统的容错服务组合框架;然后,基于pi网建立了物联网智能物流系统物流服务容错组合模型,并对模型进行了容错正确性和拟合性分析;最后,对提出的模型进行了服务可靠性、服务故障容错可靠性实验,并与Petri网、QoS动态预测算法、模糊卡诺模型和改进粒子群优化的服务组合方法针对服务组合的执行时间、用户满意度、可靠性和最优度进行对比实验。实验结果表明,所提模型具有更高的服务可靠性和服务故障容错可靠性,同时在服务组合的执行时间、用户满意度、可靠性和最优度等方面也具有一定的优越性。",0
基于物联网设备指纹的情境认证方法,2019,"针对物联网设备中因非法设备接入带来的远程控制安全问题,提出一种基于设备指纹的情境认证方法。首先,通过提出的对交互流量中单个字节的分析技术,提取物联网设备指纹;其次,提出认证的流程框架,根据设备指纹在内的六种情境因素进行身份认证,设备认证通过才可允许访问;最后,对物联网设备进行实验,提取相关设备指纹特征,结合决策树分类算法,从而验证情境认证方法的可行性。实验中所提方法的分类准确率达90%,另外10%误判率为特殊情况但也符合认证要求。实验结果表明基于物联网设备指纹的情境认证方法可以确保只有可信的物联网终端设备接入网络。",0
互联网端到端多路径传输跨层优化研究综述,2019,"近年来,随着虚拟现实、物联网、云计算等新兴技术的发展,用户对网络带宽的需求迅猛增加,使用单一接入技术已经难以满足用户对网络带宽的需求.为了解决用户日益增长的带宽需求和有限的频率资源之间的矛盾,互联网端到端多路径传输技术应运而生.互联网端到端多路径传输协议,如MPTCP(multipath TCP),目前主要工作于传输层,能够利用终端已经具备的多块网卡(如WiFi网卡和4G网卡)同时进行数据的端到端并发传输,从而提高总的传输带宽和对网络动态性的适应能力.由于每条子流可以通过TCP协议及其优化算法实现端到端的可靠有序传输,因此端到端多路径传输的研究重点在于多条子流之间的智能协同,主要体现在子流选择、数据分配和调度、联合拥塞控制等方面.然而,底层链路的动态变化使得传输层所估计的链路参数无法及时地反映当前链路的状态,异构物理网络接口具有不同的资源分配特点,不同子流在网络层存在部分传输路径重合问题,上层应用的数据包在截止时间、重要性、失真率等方面存在差异,这些都将给端到端多路径传输中子流之间的智能协同带来影响.因此,仅仅依靠传统的传输层信息无法有效发挥多路径传输的优势,需要在传输层对其他层次的相关参数进行有效利用.为此,近年来有关研究着手利用物理层、链路层、网络层以及应用层的相关信息,通过跨层联合优化来有效地提升多路径传输的优势.比较了近年来利用跨层信息进行多路径传输优化的研究,分析了各层的功能特点及其与多路径传输的关系,并在最后对未来的研究趋势进行了展望.",0
一种L型微带谐振器加载的射频识别无芯片标签,2019,"将低成本的标签用于射频识别(radio frequency identification,RFID)系统有利于促进物联网(the internet of things,IoT)的发展,为了降低标签成本,提出了L型微带谐振器加载的无芯片标签.标签采用收发正交的两面超宽带(ultra wideband,UWB)圆盘单极天线,通过长度不等的L型微带谐振器和$50\;\Omega $传输相耦合构成L型微带谐振器加载无芯片标签.在4.80~10.93GHz频带上得到了20 bit的频率位置编码容量;将幅度调制和频率位置调制进行混合编码后得到60 bit的编码容量.通过制作4 bit编码容量的几种典型编码的标签进行测试,测试结果和仿真结果基本一致.",0
海洋时空基准网的进展与趋势,2019,"全球时空基准网是获取地球时空信息的基础设施,它包括地基时空基准网、空间时空基准网和海洋时空基准网3个部分,其中海洋时空基准网的建设尚属起步阶段。先就海洋时空基准网的概念及内涵进行了分析,并从海洋定位导航基准、高精度海洋水平及垂直定位基准等角度介绍并分析了其发展现状及未来趋势。海洋时空基准网的主要构建方式是综合运用GNSS(Global Navigation Satellite System)卫星定位、水下声学定位以及压力传感器等技术将全球统一的时空基准传递到海洋表层、内部和底部。它的建设在我国还属于空白,故需结合国情、配合国家战略规划大力推进;指出当前全球和各国海洋环境监测的需求普遍甚旺,而现有海洋环境监测网多为局域网络,未与时空基准网融合,故海洋环境缓变或快变的时空位置不清楚或不精确,因此,将海洋时空基准网与海洋环境监测网融合起来建设,实现效益、效率和功能的互补提升,显得尤为重要和紧迫。在此基础上还认为,融合后的海洋时空基准网与环境监测网加上通信和数据交换功能,以实现海洋环境精准监测并进行海洋信息传输的目的,进而逐渐推进以形成具有时空位置属性的全球性海洋环境感知认知网络,即为海洋物联网。进一步探讨设想:将海洋物联网与海底通信光缆链接起来,同时通过海面浮标观测舱与通信卫星链接起来,就构成了有时空位置属性的海洋互联网。最后认为,我国应加快建立以中国周边海域为主的精密动态海洋时空基准和环境监测网,并通过国际合作开展全球性海洋时空基准与环境监测网的布设。",0
人工智能视角下的智能制造前世今生与未来,2019,"以大数据和深度学习为代表的新一代人工智能将对制造业产生颠覆性影响,为了更好地理解人工智能和智能制造之间的关系以及把握智能制造发展演化规律和趋势,从人工智能发展角度来探讨智能制造的过去、现在与未来,将智能制造发展分为以符号逻辑推理为基础的第一代智能制造和以物联网、云计算、信息物理系统、社会信息物理系统、大数据和深度学习等新一代信息通讯技术为基础的第二代智能制造,并对两者进行了关联对比分析,最后展望了未来人工智能与智能制造的发展。",2
基于国际标准条形码实现高值耗材全流程闭环追溯管理,2019,"高值医用耗材的科学管理对医院发展和服务至关重要。作者介绍了医院通过搭建院内精益物流管理(SPD)平台,在国际标准条形码(GS1/HIBC)解码的基础上,自建高值耗材通用编码库,引入RFID物联网技术和设备,结合各环节业务操作模板,实现高值耗材的全流程、高效、闭环管理。",0
药品温湿度物联网综合监控平台的建立与应用,2019,"目的提高医院药品院内物流运行的质量。方法建立感染病院药品温湿度物联网综合监控平台,并观察其特点与应用效果。结果利用物联网技术构建三级监控平台,实时记录存放药品的环境和设备温湿度数据,动态监测调拨和下送的冷链药品在途温度,借助远程预警短信及时处理异常情况,应用6个月,共收到报警信息526条,调控药品冷藏柜10台,更换不符合温控标准的冷藏柜2台。结论药品温湿度物联网综合监控平台的建立,使药品院内物流过程温湿度可控,通过药师主动干预,将药品质量管理下沉到临床一线,降低断链风险,提升医院药学服务水平。",0
告别充电器:一种可以随身携带的能量源,2019,"天地与我同根,万物与我一体(《碧岩录》).正所谓世间所象,共为一体.人类社会正在朝着万物互联的方向蓬勃发展.例如当今快速崛起的人工智能技术和柔性电子技术正是这一代表,新技术将人与人、人与物、物与物的距离拉近,信息共享,实时传输--世界开始变得越来越是一个整体.而其中,作为物联网技术的核心,便携式和集成式的自供电能源技术是人们关注的焦点.",0
基于泛在电力物联网多源信息的电网动态风险评估系统,2019,"针对当前电力调控中心难以计及多源信息对电网动态过程进行有效风险评估的现状,指出了泛在电力物联网大背景下电网风险评估所面临的挑战与机遇,提出了基于泛在电力物联网的电网动态风险评估体系架构。首先介绍了电网动态风险评估概念,并设计了基于物联网的电网动态风险评估体系流程。其次提出了如何利用泛在物联网多源数据解决故障概率动态感知、故障集动态选取、故障后状态动态生成以及操作过程动态风险评估等关键问题的处理方法。最后基于该体系架构,设计了相应的软件系统,介绍了该系统的数据源、数据中台以及主要功能模块,并结合实际案例,对系统的应用情况进行了说明。",0
泛在电力物联网传输网优化关键技术研究,2019,"泛在电力物联网作为能源互联网建设的重要基石,对于提升电网综合效能和社会效能,促进满足用户需求的新兴业务的发展具有重要意义。面对新形势、新要求,通过优化泛在电力物联网内部通信网络架构,加快建设泛在电力物联网步伐,实现能源数据广泛互联,成了亟待解决的关键问题。本文以泛在电力物联网架构下的传输网为例,分别从网络拓扑结构和路由层面2个角度出发,制定优化策略。从网络拓扑角度出发,提出了基于节点权重的加边优化策略;从路由层面出发,考虑业务均衡性问题,提出了基于边介数的优化路由策略;通过构建网络性能评价指标,将本文提出的优化策略与传统策略进行对比,验证了优化策略能够提升网络的健壮性,扩充网络容量。",0
电力无线专网在泛在电力物联网中的应用,2019,"电力无线专网将成为解决电网最后一公里通信连接问题的关键技术,助力泛在电力物联网实现万物互联、人机交互,全面深入应用电力无线专网对泛在电力物联网的建设具有重要意义。首先介绍了泛在电力物联网的基本概念与特征、分析了泛在电力物联网业务对通信的需求,研究了电力无线专网架构、技术和特点。其次,深入分析了电力无线专网在泛在电力物联网中的三大典型应用场景,即控制类业务、采集类业务、移动类业务。基于应用场景指出了电力无线专网建设过程中存在的通信干扰、网络安全、业务连续性以及基站选址等问题,并结合建设实际提出了针对性的解决措施。最后给出了泛在电力物联网环境下电力无线专网建设方向,在业务针对性、业务发展需求、业务扩展性以及业务安全性等方面进行了探讨。",0
认知无线电网络中的非正交多址资源分配算法,2019,"随着物联网的发展和移动终端的普及,用户对数据速率需求快速增长,移动通信系统依然面临着频谱资源紧缺问题。针对认知无线电网络中的非正交多址接入(non-orthogonal multiple access, NOMA)技术,研究了认知无线电网络中非正交多址信道和功率联合优化问题。以主用户干扰功率和次用户最小吞吐量以及子信道最大复用用户数为约束条件,综合考虑信道状态信息和功率资源,以提高系统能效为目标,建立了信道和功率资源分配优化模型。为了避免信道状态相近的用户复用在同一子信道上,提出了一种次优公平性可调的信道分配算法,并基于连续凸近似和Dinkelbach模型,得到子信道复用用户间的最优功率分配。仿真结果表明,所提算法可以在提高用户公平性的同时,有效提高系统能效。",0
基于能量获取的蜂窝物联网中距离感知的成簇策略,2019,"针对无线能量传递过程中的""双重远近效应""问题,提出一种距离感知的成簇策略。由于传统无线能量传递方案没有考虑距离对网络性能的影响,也缺乏对高能效能量获取方法的挖掘和利用,通过对稳定能量获取来源的物联网进行分析,联合考虑能量与通信的协作,提出一种距离感知的成簇策略来平衡物联网节点获取和消耗能量的不均衡。策略根据簇首选择机制节点被划分为簇首节点和簇成员节点2类,簇首直接与基站通信,成员则将业务发送给所在簇的簇首,然后由簇首转发给基站。研究结果表明,在给定电网总能耗的约束条件下,基于距离感知的成簇策略能提高4倍以上的系统能效,降低至少50%的通信中断,进一步提高了网络覆盖效率,""双重远近效应""问题得到有效解决。",0
