title_en,title_ch,year,abstract_en,abstract_ch,keywords_en,keywords_ch
A Survey of Smart Health: System Design from the Cloud to the Edge,智慧健康研究综述:从云端到边缘的系统,2020,"Smart health is a real-time, intelligent, ubiquitous healthcare service based on the IoT aware network and sensing infrastructure. Thanks to the rapid development of related technologies such as cloud computing, fog computing and IoT, research on smart health is gradually on the right track. This paper analyzes research on smart health in recent years and then discusses the development of smart health from both cloud and edge, including cloud computing, fog computing, IoT sensors, blockchain, and privacy and security. At present, in the research of cloud and smart health, the focus is on how to use the cloud to complete the challenges of massive health data and improve service performance, including related issues such as storage, retrieval and calculation of health big data in the cloud. At the edge, research focuses on the collection, transmission, and computation of health data, including sensors and wearable devices for collecting health data, various sensor networks, and how to process health data and improve service performance at the edge. As an emerging technology, blockchain has a wide range of applications in smart health. We discuss typical smart health application, blockchain in smart health and privacy and security issues related to smart health. Finally, we present challenges and opportunities for smart health in the edge computing era.","摘要:智慧健康是基于物联网的环境感知网络和传感基础设施的实时的、智能的、无处不在的医疗保健服务.得益于云计算、雾计算以及物联网等相关技术的快速发展,关于智慧健康的相关研究也逐渐步入正轨.近年来对于智慧健康的相关研究,主要从云端和边缘这2个主要方向展开,其中包含了云、雾计算,物联网传感器,区块链以及隐私和安全等相关技术.目前,在云和智慧健康的研究中,关注点在于如何利用云去完成海量健康数据的挑战和提升服务性能,具体包括健康大数据在云中的存储、检索和计算等相关问题.而在边缘,研究重点转变为健康数据的采集、传输和计算,具体包括用于采集健康数据的各类传感器和可穿戴设备、各类无线传感器技术以及如何在边缘处理健康数据并提升服务性能等.最后,对典型的智慧健康应用案例、区块链在智慧健康中的应用以及相关隐私和安全问题进行了讨论,并提出了智慧健康服务在未来的挑战和机遇.",作者关键词:smart health; cloud computing; fog computing; sensor; blockchain; privacy and security; survey,作者关键词:智慧健康; 云计算; 雾计算; 传感器; 区块链; 隐私和安全; 综述
Load-Balance Scheduling Algorithm for Geo-Spatial Information Cloud Platform,地理空间信息云平台负载调度算法设计,2020,"According to the large throughput demand of geospatial information resources in the modern Internet of Things.Based on the cloud computing,muti-transicription and the Master-Slave topology,this paper designed a load-balance scheduling algorithm for geo-spatial information cloud platform.The method takes advantage of hash function to better balance requests with all the requests are processed on aster server.Meanwhile,we put our algorithm on the real GIS system.By simulating the user's requests at different frequencies,we divide the requests into three kinds,the predictable peak period,the random peak period and system response.We calculate the average response time.The results show our algorithm is effective and efficient.Average user response time can be significantly reduced during peak visit period.","摘要:根据现代物联网对地理空间信息资源的大吞吐量需求,本文运用云计算技术、主从拓扑结构和多副本技术,设计了针对地理空间信息云平台的负载均衡调度算法,该算法通过统一的主服务器进行调度,并运用哈希函数使访问请求趋于均衡化。同时,我们将该算法运行在实际GIS系统中,模拟不同频度的用户访问请求,进行仿真。按照访问请求特征,将请求分为可预测高峰请求、随机高峰请求和系统响应请求三类,并分别统计请求的平均响应时间。结果显示,该算法有效可行,可在访问高峰期大幅减少用户平均响应时间。",作者关键词:GIS; cloud computing; load-balance; scheduling,作者关键词:地理信息系统; 云计算; 负载均衡; 任务调度
Research and exploration of industrial intelligent water works,工业智慧水务的研究和探索,2020,"Improving the utilization of water resource,reducing the use of water resource,controlling water environmental pollution and improving the water environment have become important conditions for the survival and development of industrial enterprises. Industrial intelligent water works will be an important development direction for industrial enterprises transformation and upgrading,and help the sustainable development of industrial enterprises. The composition of industrial intelligent water works was introduced,the development mode and product development of industrial intelligent water works were also discussed by analyzing and comparing the industrial intelligent water works and the city intelligent water works.","摘要:提高水资源利用率、减少水资源使用、控制水环境污染、改善水环境已经成为工业企业生存发展的重要条件。工业智慧水务将成为工业企业转型升级的重要发展方向,助力工业企业的可持续发展。介绍了工业智慧水务的组成,并通过分析对比工业智慧水务与城市智慧水务,对工业智慧水务的发展模式以及产品开发进行了探讨。",作者关键词:industrial intelligent water works; internet of things; energy saving; water saving,作者关键词:工业智慧水务; 物联网; 节能; 节水
Development of Intelligent Perception Key Technology in the Ubiquitous Internet of Things in Electricity,泛在电力物联网智能感知关键技术发展思路,2020,"Intelligent sensing is the data entry of the ubiquitous internet of things, and plays an extremely important role in the construction of the ubiquitous internet of things. This paper quantitatively compared the advantages of the ubiquitous internet of things in electricity in data transmission capacity by abstracting the information theory expression of the ubiquitous internet of things in electricity, and estimated the scale of intelligent perception network synthetically, forecasting solving the problems needs massive multi-source data fusion and information security protection. This paper proposed decomposition and subsidence coefficient of edge algorithm for the ubiquitous internet of things in electricity, defined a paradigm describing the decomposability of edge algorithm, illustrated the computational efficiency of common electric power algorithms after edge decomposition of ubiquitous internet of things, and discussed the information gain of intelligent perception in space-time, type and accuracy. Based on this, the development ideas of ubiquitous intelligent perception technology in three dimensions of data access network, edge computing and depth computing were described respectively. On this basis, the practical application scenarios of the ubiquitous internet of things in electricity were discussed.","摘要:智能感知是泛在电力物联网的数据入口,在泛在电力物联网建设中扮演着极其重要的角色。该文通过抽象化泛在物联网的信息论表述,量化比较了泛在电力物联网在数据传输容量上的优势,综合估算了智能感知网络规模,预测需要在此基础上解决海量异构多源数据融合、信息安全防护等问题。探讨了泛在电力物联网边缘算法的可分解性与下沉系数,定义了描述边缘算法可分解程度的范式,举例电力常用算法在泛在物联网边缘分解后的计算效率。讨论了智能感知在时空、类型、准确度的信息增益,以此为数学前提分别叙述了泛在电力物联网智能感知技术在通信网络、边缘计算、深度感知3个维度的发展思路,在此基础上讨论了泛在电力物联网的实际应用场景。",作者关键词:ubiquitous internet of things; intelligent sensing; edge computing; accurate collection; data fusion,作者关键词:泛在电力物联网; 智能感知; 边缘计算; 精确采集; 数据融合
Inhibitory effects of organic acids on polyphenol oxidase: From model systems to food systems,,2019,"Organic acids are widely utilized in the food industry for inhibiting the activity of polyphenol oxidase (PPO) and enzymatic browning. This review discusses the mechanisms of inhibition of PPO and enzymatic browning by various organic acids based on studies in model systems, critically evaluates the relevance of such studies to real food systems and assesses the implication of the synergistic inhibitory effects of organic acids with other physicochemical processing techniques on product quality and safety. Organic acids inhibit the activity of PPO and enzymatic browning via different mechanisms and therefore the suitability of a particular organic acid depends on the structure and the catalytic properties of PPO and the physicochemical properties of the food matrix. Studies in model systems provide an invaluable insight into the inhibitory mechanisms of various organics acids. However, the difference in the effectiveness of PPO inhibitors between model systems and food systems and the lack of correlation between the degree of PPO inhibition based on in vitro assays and enzymatic browning imply that the effectiveness of organic acids can be accurately evaluated only via direct assessment of browning inhibition in a particular food system. Combination of organic acids with physical processing techniques is one of the most viable approaches for PPO inhibition since the observed synergistic effect helps to reduce the undesirable organoleptic quality changes from the use of excessive concentration of organic acids or intense physical processing.",,作者关键词:Organic acids; polyphenol oxidase; inhibition mechanism; catalytic activity; enzymatic browning; model systems; food systems,
Long Range Backscatter Communication Method Based on Direct Digital Frequency Synthesis,,2019,"Long Range(LoRa) Backscattering Communication (BC) not only has the advantages of low cost and low power consumption, but also has a long communication distance. However, the existing LoRa BC scheme is complex and can not be applied to actual engineering. For this purpose, a new LoRa BC method is proposed. A Direct Digital frequency Synthesis (DDS) technique is used to generate a square wave with a linear frequency variation as a LoRa scattering modulation signal. For the first time, the prototype of LoRa BC system based on MCU is demonstrated. Experimental results show that design can successfully realize backscatter communication at any position between the station and the receiver which are 208 meters apart, while being compatible with commodity LoRa chipset. In addition, the method is also applicable to an Application Specific Integrated Circuit (ASIC) design, which enables the LoRa backscattering IC to have higher robustness, lower cost, and lower power consumption.",,作者关键词:Internet of Things(IoT); Long Range (LoRa) Backscatter Communication (BC); Chirp Spread Spectrum (CSS) modulation; Low power comsumption,
Transfer Printing of VO2 Thin Films Using MoS2/SiO2 van der Waals Heterojunctions,,2019,"In recent years, flexible electronic devices have attracted much attention due to the potential applications in the fields of the Internet of Things and bioelectronics. The integration of functional oxide materials in flexible polymers has been proven an effective way to achieve high performance flexible electronic devices. However, due to high fabrication temperatures, the synthesis of high-quality oxide films directly on flexible polymer substrates remains a significant challenge. This study proposed a method for transferring printing large-area VO2 film based on MoS2/SiO2 van der Waals heterojunctions. Due to different hydrophilic and hydrophobic properties of MoS2 and SiO2 films, we can dissociate the MoS2/SiO2 van der Waals heterojunction interface only by using deionized water, and transfer printing the VO2 films from Si/SiO2/MoS2/SiO2/VO2 to Si, SiO2/Si and flexible substrates. X-ray diffraction (XRD) results showed that the crystal structure of VO2 films has no difference before and after the transfer process. Temperature-dependent Raman spectrum and infrared reflectance spectrum demonstrate good metal-insulator transition (MIT) performance of VO2 films before and after transferring printing. These results indicate an effective method for transferring printing functional oxide films, which enables low-temperature integration of VO2 thin films on arbitrary substrates without introducing sacrificial layer and corrosive solvents. Our study provides a new way for integrating functional oxides for flexible wearable electronic devices applications.",,作者关键词:vanadium oxide film; transfer printing; low-temperature integration; flexible electronic devices,
Constructions of Maximal Distance Separable Matrices with Minimum XOR-counts,,2019,"With the development of the internet of things, small-scale communication devices such as wireless sensors and the Radio Frequency IDentification(RFID) tags are widely used, these micro-devices have limited computing power, so that the traditional cryptographic algorithms are difficult to implement on these devices. How to construct a high-efficiency diffusion layer becomes an urgent problem. With the best diffusion property, the Maximal Distance Separable (MDS) matrix is often used to construct the diffusion layer of block ciphers. The number of XOR operations (XORs) is an indicator of the efficiency of hardware applications. Combined with the XORs calculation method which can evaluate hardware efficiency more accurately and a matrix with special structure-Toeplitz matrix, efficient MDS matrices with less XORs can be constructed. Using the structural characteristics of the Toeplitz matrix, the constraints of matrix elements are improved, and the complexity of matrices searching is reduced. The 4x4 MDS matrices and the 6x6 MDS matrices with the least XORs in the finite field F-28 are obtained, and the 5x5 MDS matrices with the XORs which are equal to the known optimal results are obtained too. The proposed method of constructing MDS Toeplitz matrices with the least XORs has significance on the design of lightweight cryptographic algorithms.",,作者关键词:Block cipher; Lightweight diffusion layers; Maximal Distance Separable(MDS) matrices; XOR-counts; Toeplitz matrices,
Plant safety production in industrial internet era,工业互联网时代工厂安全生产的思考与实践,2019,"In view of the five cores of the industrial enterprise operation, the people, the equipment, the materials, the process, and the environment, a total solution for the safety production is given in this paper, with the industrial operating system as the platform, the 5th-generation (5G), narrow band internet of things (NB-IoT) and cloud computing as tools, to solve the problems of the personnel safety, the equipment safety, the materials safety, the process safety and the environmental safety. It can meet the security requirements of enterprises, and guarantee the safety production of intelligent plants.","摘要:流程工业企业安全生产问题日益成为全社会关注的焦点。聚焦工业企业运行的五大核心--人、机、料、法、环,以工业操作系统为平台,采用第五代移动通信(5G)、窄带物联网(NB-IoT)和云计算等技术,围绕人员安全、设备安全、物料安全、工艺安全和环境安全,提出了安全生产整体解决方案,以满足企业用户的安全需求,为工业互联网时代工厂安全生产保驾护航。",作者关键词:safety production; industrial internet; intelligent plant,作者关键词:安全生产; 工业互联网; 智能工厂
Internet of Things Oriented Multi-Agent-Based Inter-Objects Dynamic Relation Exploring,物联网中基于Multi-Agent的物间动态关系发现,2019,"The information interaction between huge heterogeneous entities existed in Internet of Things(IoT) leads to the internal contradiction for IoT.To solve this problem,a method of multi-agent-based inter-objects dynamic relation discovery is proposed.Firstly,abstract all entities in IoT to corresponding Agents.Secondly,employ ontology-based semantic matching and improved calculation method of inter-objects dynamic relation to calculate object dynamic relation for the individual.Finally,converse the original heterogeneous entity relation into the close-ranked dynamic network relation between Agents.The experimental verification reveals that the relation network constructed by the proposed method can obviously improve the interaction contradictions among heterogeneous entities.And compared with the original similar method,both accuracy and error rate have been improved,confirming the proposed method correct and feasible.","摘要:物联网中存在大量异构关系的实体,其信息间的交互造成了物联网的内在矛盾。针对这一问题,提出将物联网中实体抽象化为对应的Agent,并以个体人为中心,利用本体的语义匹配及改进的物间动态关系计算方法,计算出针对个体人的物间动态关系;将原本异构的实体关系转化为Agent间基于动态关系紧密度排序的网络关系。经实验验证,该方法构建的关系网络可明显改善异构实体间交互的矛盾,而且相比原有类似方法,该方法解决问题的准确率和误差率均有改善,说明了该方法的准确性和可行性。",作者关键词:Agent; Internet of things; heterogeneous relation; entity; Agent; semantic matching; dynamic relation,作者关键词:物联网; 异构关系; 实体; 语义匹配; 动态关系
